KF3 log
z Pzz v Pvv abias Pbb
90896.0 16.7 -88.9 479.2 -0.9 153.8
90897.4 16.7 -76.4 479.2 -1.9 153.6
90896.7 16.7 -70.4 479.2 -2.2 153.3
90896.7 16.7 -59.6 479.1 -2.6 153.1
90898.1 16.7 -43.8 479.1 -3.4 152.8
90897.9 16.7 -35.6 479.1 -3.6 152.6
90897.0 16.7 -33.0 479.1 -3.5 152.3
90895.6 16.7 -37.4 479.1 -3.3 152.1
90893.3 16.7 -46.5 479.1 -2.8 151.8
90891.5 16.7 -49.7 479.0 -2.6 151.6
90891.1 16.7 -44.8 479.0 -2.8 151.3
90892.7 16.7 -36.0 479.0 -3.5 151.1
90888.9 16.7 -51.9 479.0 -2.6 150.8
90887.6 16.7 -61.9 479.0 -2.5 150.6
90884.2 16.7 -82.0 479.0 -1.9 150.3
90886.6 16.7 -78.6 478.9 -3.1 150.1
90887.6 16.7 -74.9 478.9 -3.9 149.8
90887.4 16.7 -75.2 478.9 -4.2 149.6
90886.4 16.7 -83.7 478.9 -4.4 149.3
90885.2 16.7 -98.0 478.9 -4.5 149.1
90880.6 16.7 -124.7 478.9 -3.7 148.9
90878.9 16.7 -134.1 478.8 -4.0 148.6
90876.2 16.7 -140.3 478.8 -4.0 148.4
90874.0 16.7 -139.8 478.8 -4.2 148.1
90874.3 16.7 -133.2 478.8 -5.1 147.9
90871.9 16.7 -141.4 478.8 -5.2 147.7
90867.1 16.7 -156.8 478.8 -4.6 147.4
90864.8 16.7 -158.7 478.7 -4.8 147.2
90862.3 16.7 -169.1 478.7 -5.0 147.0
90857.4 16.7 -183.9 478.7 -4.6 146.7
90853.3 16.7 -186.1 478.7 -4.5 146.5
90850.9 16.7 -185.5 478.7 -4.8 146.3
90846.5 16.7 -196.4 478.7 -4.6 146.0
90844.3 16.7 -192.9 478.6 -5.1 145.8
90837.3 16.7 -185.2 478.6 -4.2 145.6
90829.6 16.7 -169.4 478.6 -3.1 145.3
90824.5 16.7 -154.9 478.6 -2.5 145.1
90823.2 16.7 -144.7 478.6 -3.1 144.9
90819.7 16.7 -152.6 478.6 -2.9 144.6
90818.1 16.7 -152.8 478.6 -3.3 144.4
90815.3 16.7 -151.9 478.5 -3.4 144.2
90816.8 16.7 -126.1 478.5 -4.7 144.0
90810.1 16.7 -130.9 478.5 -3.5 143.7
90805.7 16.7 -128.3 478.5 -3.0 143.5
90802.3 16.7 -124.8 478.5 -2.7 143.3
90798.6 16.7 -125.7 478.5 -2.4 143.1
90797.6 16.7 -119.2 478.5 -2.8 142.8
90794.2 16.7 -121.2 478.4 -2.5 142.6
90789.3 16.7 -125.5 478.4 -1.8 142.4
90785.4 16.7 -121.1 478.4 -1.4 142.2
90782.9 16.7 -110.1 478.4 -1.4 142.0
90780.2 16.7 -102.7 478.4 -1.2 141.8
90778.8 16.7 -94.3 478.4 -1.4 141.5
90778.2 16.7 -89.7 478.3 -1.8 141.3
90776.1 16.7 -91.9 478.3 -1.7 141.1
90774.9 16.7 -88.9 478.3 -1.9 140.9
90771.6 16.7 -92.5 478.3 -1.4 140.7
90771.3 16.7 -80.6 478.3 -1.9 140.5
90770.8 16.7 -71.0 478.3 -2.2 140.2
90771.9 16.7 -59.2 478.3 -2.9 140.0
90769.7 16.7 -63.3 478.2 -2.7 139.8
90767.3 16.7 -69.4 478.2 -2.3 139.6
90764.2 16.7 -74.0 478.2 -1.9 139.4
90761.8 16.7 -70.2 478.2 -1.6 139.2
90760.2 16.7 -63.4 478.2 -1.5 139.0
90758.6 16.7 -59.7 478.2 -1.4 138.8
90753.3 16.7 -73.1 478.2 -0.3 138.6
90753.5 16.7 -66.4 478.1 -0.7 138.3
90751.9 16.7 -67.4 478.1 -0.7 138.1
90750.9 16.7 -66.5 478.1 -0.8 137.9
90751.4 16.7 -57.8 478.1 -1.3 137.7
90749.1 16.7 -57.3 478.1 -1.0 137.5
90745.7 16.7 -60.0 478.1 -0.3 137.3
90745.9 16.7 -52.3 478.1 -0.7 137.1
90746.6 16.7 -44.0 478.0 -1.2 136.9
90747.7 16.7 -35.5 478.0 -1.8 136.7
90744.1 16.7 -45.4 478.0 -1.0 136.5
90743.6 16.7 -42.2 478.0 -1.1 136.3
90744.9 16.7 -31.7 478.0 -1.6 136.1
90747.9 16.7 -14.6 478.0 -2.7 135.9
90750.2 16.7 -0.2 478.0 -3.4 135.7
90749.9 16.7 5.3 478.0 -3.3 135.5
90752.2 16.7 20.5 477.9 -3.9 135.3
90754.3 16.7 33.9 477.9 -4.4 135.1
90753.2 16.7 34.4 477.9 -3.9 134.9
90754.2 16.7 43.7 477.9 -4.0 134.7
90754.9 16.7 52.0 477.9 -3.9 134.5
90755.8 16.7 61.1 477.9 -3.9 134.3
90758.0 16.7 74.1 477.9 -4.1 134.1
90757.4 16.7 74.8 477.8 -3.6 133.9
90758.6 16.7 81.6 477.8 -3.5 133.7
90761.7 16.7 94.4 477.8 -3.9 133.5
90764.2 16.7 104.6 477.8 -4.1 133.4
90764.5 16.7 104.3 477.8 -3.6 133.2
90767.4 16.7 112.2 477.8 -3.8 133.0
90770.7 16.7 119.3 477.8 -4.1 132.8
90771.6 16.7 115.7 477.8 -3.7 132.6
90774.0 16.7 117.3 477.7 -3.7 132.4
90779.0 16.7 129.7 477.7 -4.4 132.2
90783.0 16.7 139.3 477.7 -4.8 132.0
90786.9 16.7 147.2 477.7 -5.1 131.8
90787.0 16.7 138.1 477.7 -4.3 131.6
90789.5 16.7 137.4 477.7 -4.3 131.5
90791.7 16.7 133.6 477.7 -4.1 131.3
90792.8 16.7 124.7 477.7 -3.7 131.1
90794.8 16.7 119.9 477.6 -3.6 130.9
90794.1 16.7 105.7 477.6 -2.7 130.7
90799.0 16.7 112.9 477.6 -3.5 130.5
90803.0 16.7 115.5 477.6 -3.9 130.3
90804.6 16.7 110.6 477.6 -3.7 130.2
90807.5 16.7 111.7 477.6 -3.9 130.0
90809.1 16.7 106.4 477.6 -3.8 129.8
90813.5 16.7 110.7 477.6 -4.4 129.6
90815.0 16.7 100.2 477.5 -4.2 129.4
90817.0 16.7 91.1 477.5 -4.2 129.3
90820.1 16.7 87.9 477.5 -4.5 129.1
90823.4 16.7 87.6 477.5 -4.9 128.9
90822.6 16.7 75.3 477.5 -4.2 128.7
90824.5 16.7 74.8 477.5 -4.4 128.5
90828.0 16.7 80.6 477.5 -4.9 128.4
90831.1 16.7 84.6 477.5 -5.3 128.2
90833.3 16.7 84.1 477.4 -5.4 128.0
90831.2 16.7 68.0 477.4 -4.4 127.8
90830.1 16.7 57.8 477.4 -3.8 127.7
90832.0 16.7 61.0 477.4 -4.0 127.5
90831.6 16.7 55.5 477.4 -3.5 127.3
90831.7 16.7 50.0 477.4 -3.3 127.1
90836.0 16.7 59.8 477.4 -4.1 127.0
90834.6 16.7 47.3 477.4 -3.5 126.8
90834.0 16.7 41.0 477.3 -3.1 126.6
