KF4 Log
z Pzz v Pvv atrue Paa abias Pbb
90754.4 14.6 -1.3 308.6 -2.0 35777.3 -1.7 184.6
90754.5 14.6 -1.1 308.6 -2.6 35777.3 -1.7 183.9
90752.7 14.6 -7.0 308.5 -5.5 35777.3 -0.7 183.2
90751.8 14.6 -9.8 308.4 -5.6 35777.3 -0.3 182.6
90755.6 14.5 3.6 308.4 -0.7 35777.3 -2.6 181.9
90755.0 14.5 1.3 308.3 -2.0 35777.3 -2.2 181.2
90753.9 14.5 -2.4 308.3 -2.4 35777.3 -1.6 180.6
90751.2 14.5 -11.3 308.2 -6.1 35777.3 -0.0 180.0
90751.5 14.5 -9.8 308.2 -5.5 35777.3 -0.3 179.3
90749.7 14.5 -15.2 308.1 -5.7 35777.3 0.6 178.7
90748.9 14.5 -17.1 308.0 -6.4 35777.3 0.9 178.0
90751.2 14.5 -8.2 308.0 -2.9 35777.3 -0.6 177.4
90752.0 14.5 -5.1 307.9 -3.3 35777.3 -1.2 176.8
90754.5 14.5 3.4 307.9 -1.4 35777.3 -2.6 176.2
90756.2 14.5 8.8 307.8 -0.5 35777.3 -3.5 175.6
90756.9 14.5 10.6 307.8 -2.0 35777.3 -3.8 175.0
90756.4 14.5 8.1 307.7 -3.4 35777.3 -3.4 174.4
90757.1 14.5 9.8 307.7 -0.7 35777.3 -3.7 173.8
90757.6 14.5 10.9 307.6 -0.3 35777.3 -3.9 173.2
90759.9 14.5 17.8 307.6 -0.2 35777.3 -5.0 172.6
90758.9 14.5 13.3 307.5 -0.8 35777.3 -4.3 172.0
90756.0 14.5 2.7 307.5 -2.7 35777.3 -2.6 171.4
90755.8 14.5 1.9 307.4 -2.0 35777.3 -2.4 170.8
90754.4 14.5 -3.0 307.4 -4.2 35777.3 -1.7 170.2
90753.3 14.5 -6.4 307.3 -5.7 35777.3 -1.1 169.7
90752.7 14.5 -8.2 307.3 -4.4 35777.3 -0.8 169.1
90752.7 14.5 -7.7 307.2 -3.6 35777.3 -0.9 168.5
90749.5 14.5 -18.0 307.2 -7.0 35777.3 0.7 168.0
90752.2 14.5 -7.8 307.1 -4.5 35777.3 -0.9 167.4
90754.0 14.5 -1.5 307.1 -2.8 35777.3 -2.0 166.9
90754.8 14.5 1.3 307.0 -2.0 35777.3 -2.4 166.3
90757.0 14.5 8.6 307.0 0.6 35777.3 -3.6 165.8
90755.4 14.5 2.4 306.9 -2.0 35777.3 -2.6 165.2
90754.4 14.5 -1.0 306.9 -3.5 35777.3 -2.1 164.7
90752.3 14.5 -8.0 306.8 -4.4 35777.3 -1.0 164.2
90754.5 14.5 -0.1 306.8 -0.6 35777.3 -2.2 163.6
90754.8 14.5 0.9 306.7 -1.4 35777.3 -2.4 163.1
90752.7 14.5 -6.3 306.7 -4.3 35777.3 -1.3 162.6
90749.6 14.5 -16.3 306.7 -7.7 35777.3 0.3 162.0
90751.3 14.5 -9.7 306.6 -3.6 35777.3 -0.8 161.5
90750.6 14.5 -11.4 306.6 -5.0 35777.3 -0.5 161.0
90751.4 14.5 -8.0 306.5 -3.9 35777.3 -1.1 160.5
90750.5 14.5 -10.6 306.5 -4.5 35777.3 -0.7 160.0
90750.9 14.5 -8.8 306.4 -3.9 35777.3 -1.0 159.5
90748.1 14.5 -17.6 306.4 -6.9 35777.3 0.4 159.0
90749.4 14.5 -12.0 306.3 -4.8 35777.3 -0.5 158.5
90751.1 14.5 -5.8 306.3 -2.1 35777.3 -1.5 158.0
90748.8 14.5 -13.0 306.3 -4.2 35777.3 -0.4 157.5
90750.4 14.5 -6.9 306.2 -3.2 35777.3 -1.3 157.0
90747.5 14.5 -16.3 306.2 -5.3 35777.3 0.1 156.5
90744.0 14.5 -26.9 306.1 -6.3 35777.3 1.6 156.0
90743.3 14.5 -27.6 306.1 -5.2 35777.3 1.7 155.6
90744.6 14.5 -21.5 306.0 -4.8 35777.3 0.8 155.1
90742.5 14.5 -26.9 306.0 -5.3 35777.3 1.6 154.6
90744.9 14.5 -17.4 306.0 -5.4 35777.3 0.2 154.1
90747.8 14.5 -6.9 305.9 -1.3 35777.3 -1.4 153.7
90748.0 14.5 -5.6 305.9 -3.6 35777.3 -1.6 153.2
90747.9 14.5 -5.6 305.8 -2.1 35777.3 -1.6 152.7
90746.5 14.5 -10.0 305.8 -3.5 35777.3 -0.9 152.3
90745.2 14.5 -13.8 305.8 -3.9 35777.3 -0.4 151.8
90743.8 14.5 -17.4 305.7 -5.8 35777.3 0.1 151.4
90743.4 14.5 -17.7 305.7 -5.0 35777.3 0.1 150.9
90742.3 14.5 -20.3 305.6 -5.5 35777.3 0.5 150.5
90741.3 14.5 -22.3 305.6 -5.3 35777.3 0.8 150.0
90744.0 14.5 -12.0 305.6 -3.3 35777.3 -0.7 149.6
90747.8 14.5 1.2 305.5 -0.2 35777.3 -2.6 149.1
90750.1 14.5 8.9 305.5 -0.3 35777.3 -3.7 148.7
90750.2 14.5 8.3 305.5 -1.1 35777.3 -3.6 148.3
90749.8 14.5 6.6 305.4 -1.5 35777.3 -3.4 147.8
